で,308,925,9000,動詞,非自立,*,*,一段,基本形,でる,デ,デ
で,308,930,9000,動詞,非自立,*,*,一段,連用形,でる,デ,デ
でりゃ,308,917,7000,動詞,非自立,*,*,一段,仮定縮約１,でる,デリャ,デリャ
でる,308,919,9000,動詞,非自立,*,*,一段,基本形,でる,デル,デル
でれ,308,915,9000,動詞,非自立,*,*,一段,基本形,でる,デレ,デレ
でろ,308,926,9000,動詞,非自立,*,*,一段,基本形,でる,デロ,デロ
でよ,308,923,9000,動詞,非自立,*,*,一段,未然ウ接続,でる,デヨ,デヨ
とか,307,963,7500,動詞,非自立,*,*,五段・カ行イ音便,未然形,とく,トカ,トカ
とき,307,978,7500,動詞,非自立,*,*,五段・カ行イ音便,連用形,とく,トキ,トキ
ときゃ,307,948,7500,動詞,非自立,*,*,五段・カ行イ音便,仮定縮約１,とく,トキャ,トキャ
とい,307,973,7500,動詞,非自立,*,*,五段・カ行イ音便,連用タ接続,とく,トイ,トイ
とく,307,953,7500,動詞,非自立,*,*,五段・カ行イ音便,基本形,とく,トク,トク
とけ,307,944,7500,動詞,非自立,*,*,五段・カ行イ音便,仮定形,とけ,トケ,トケ
とけ,307,968,7500,動詞,非自立,*,*,五段・カ行イ音便,命令ｅ,とく,トケ,トケ
とこ,307,958,7500,動詞,非自立,*,*,五段・カ行イ音便,未然ウ接続,とく,トコ,トコ
とけ,307,622,8500,動詞,自立,*,*,一段,未然形,とける,トケ,トケ
とけ,307,625,8500,動詞,自立,*,*,一段,連用形,とける,トケ,トケ
とける,307,619,8500,動詞,自立,*,*,一段,基本形,とける,トケル,トケル
とけれ,307,617,8500,動詞,自立,*,*,一段,仮定形,とける,トケレ,トケレ
どか,308,963,8500,動詞,非自立,*,*,五段・カ行イ音便,未然形,どく,ドカ,ドカ
どきゃ,308,948,8500,動詞,非自立,*,*,五段・カ行イ音便,仮定縮約１,どく,ドキャ,ドキャ
どき,308,978,8500,動詞,非自立,*,*,五段・カ行イ音便,連用形,どく,ドキ,ドキ
どい,308,973,8500,動詞,非自立,*,*,五段・カ行イ音便,連用タ接続,どく,ドイ,ドイ
どく,308,953,8500,動詞,非自立,*,*,五段・カ行イ音便,基本形,どく,ドク,ドク
どけ,308,944,8500,動詞,非自立,*,*,五段・カ行イ音便,仮定形,どけ,ドケ,ドケ
どけ,308,968,8500,動詞,非自立,*,*,五段・カ行イ音便,命令ｅ,どく,ドケ,ドケ
どこ,308,958,8500,動詞,非自立,*,*,五段・カ行イ音便,未然ウ接続,どく,ドコ,ドコ
どけ,308,622,8500,動詞,自立,*,*,一段,未然形,どける,ドケ,ドケ
どけ,308,625,8500,動詞,自立,*,*,一段,連用形,どける,ドケ,ドケ
どける,308,619,8500,動詞,自立,*,*,一段,基本形,どける,ドケル,ドケル
どけれ,308,617,8500,動詞,自立,*,*,一段,仮定形,どける,ドケレ,ドケレ
とら,307,1143,7000,動詞,非自立,*,*,五段・ラ行,未然形,とる,トラ,トラ
とり,307,1195,7000,動詞,非自立,*,*,五段・ラ行,連用形,とる,トリ,トリ
とっ,307,1182,7000,動詞,非自立,*,*,五段・ラ行,連用タ接続,とる,トッ,トッ
とりゃ,307,1078,7000,動詞,非自立,*,*,五段・ラ行,仮定縮約１,とりゃ,トリャ,トリャ
とる,307,1091,7000,動詞,非自立,*,*,五段・ラ行,基本形,とる,トル,トル
